push outside 2 0.00364298724954
pushed smaller 2 0.00364298724954
rectangle smaller 2 0.00364298724954
remain box 2 0.00364298724954
roaming around 2 0.00364298724954
roaming outside 2 0.00364298724954
smaller rectangle 2 0.00364298724954
smaller roaming 2 0.00364298724954
smaller smaller 2 0.00364298724954
still inside 2 0.00364298724954
triangle inner 2 0.00364298724954
triangle inside 2 0.00364298724954
triangle pushing 2 0.00364298724954
triangle roaming 2 0.00364298724954
triangle still 2 0.00364298724954
triangles box 2 0.00364298724954
trying back 2 0.00364298724954
trying move 2 0.00364298724954
vertex red 2 0.00364298724954
very reluctant 2 0.00364298724954
box both 3 0.00546448087432
gone outside 3 0.00546448087432
object both 3 0.00546448087432
outside bigger 3 0.00546448087432
push smaller 3 0.00546448087432
red object 3 0.00546448087432
big object 4 0.00728597449909
big triangle 4 0.00728597449909
blue object 4 0.00728597449909
inner square 4 0.00728597449909
inside box 4 0.00728597449909
red triangle 4 0.00728597449909
both fighting 5 0.00910746812386
box bigger 5 0.00910746812386
small object 5 0.00910746812386
triangle seems 5 0.00910746812386
pushing smaller 6 0.0109289617486
triangle trying 6 0.0109289617486
trying push 6 0.0109289617486
small triangle 7 0.0127504553734
outside box 11 0.0200364298725
triangle outside 14 0.0255009107468
bigger triangle 16 0.0291438979964
smaller triangle 20 0.0364298724954
