stay big box 1 0.00182481751825
stay outside triangles 1 0.00182481751825
still inside bigger 1 0.00182481751825
still inside box 1 0.00182481751825
still smaller triangle 1 0.00182481751825
strategy does work 1 0.00182481751825
stretch vertex red 1 0.00182481751825
structure bigger rectangle 1 0.00182481751825
stuck door blue 1 0.00182481751825
success pushing smaller 1 0.00182481751825
surroundings over both 1 0.00182481751825
taunt red object 1 0.00182481751825
themselves vertices semi 1 0.00182481751825
things outside box 1 0.00182481751825
tips force smaller 1 0.00182481751825
tips touching triangles 1 0.00182481751825
touched triangles box 1 0.00182481751825
touching rotating smaller 1 0.00182481751825
touching triangles rotating 1 0.00182481751825
triangle also outside 1 0.00182481751825
triangle blue color 1 0.00182481751825
triangle box waiting 1 0.00182481751825
triangle came inside 1 0.00182481751825
triangle coming smaller 1 0.00182481751825
triangle focing triangles 1 0.00182481751825
triangle goes tries 1 0.00182481751825
triangle going outside 1 0.00182481751825
triangle gone outside 1 0.00182481751825
triangle inside attached 1 0.00182481751825
triangle inside box 1 0.00182481751825
triangle interacting small 1 0.00182481751825
triangle move box 1 0.00182481751825
triangle moves box 1 0.00182481751825
triangle moving around 1 0.00182481751825
triangle outside again 1 0.00182481751825
triangle outside door 1 0.00182481751825
triangle outside moving 1 0.00182481751825
triangle outside red 1 0.00182481751825
triangle outside small 1 0.00182481751825
triangle outside smaller 1 0.00182481751825
triangle outside still 1 0.00182481751825
triangle refusing move 1 0.00182481751825
triangle rotating outside 1 0.00182481751825
triangle seems happy 1 0.00182481751825
triangle seems pushed 1 0.00182481751825
triangle seems pushing 1 0.00182481751825
triangle seems trying 1 0.00182481751825
triangle seems very 1 0.00182481751825
triangle small triangle 1 0.00182481751825
triangle smaller triangle 1 0.00182481751825
triangle stuck door 1 0.00182481751825
triangle tries roam 1 0.00182481751825
triangle trying pull 1 0.00182481751825
triangle trying stretch 1 0.00182481751825
triangles bigger red 1 0.00182481751825
triangles both trying 1 0.00182481751825
triangles box open 1 0.00182481751825
triangles box small 1 0.00182481751825
triangles enclosed side 1 0.00182481751825
triangles inside box 1 0.00182481751825
triangles outside box 1 0.00182481751825
triangles over here 1 0.00182481751825
triangles right triangle 1 0.00182481751825
triangles rotating respect 1 0.00182481751825
triangles seem dancing 1 0.00182481751825
triangles small big 1 0.00182481751825
triangles squares here 1 0.00182481751825
triangles stay outside 1 0.00182481751825
triangles touching rotating 1 0.00182481751825
tries both fighting 1 0.00182481751825
tries move drag 1 0.00182481751825
tries pull smaller 1 0.00182481751825
tries push smaller 1 0.00182481751825
tries roam around 1 0.00182481751825
tries turn blue 1 0.00182481751825
trying align themselves 1 0.00182481751825
trying back comes 1 0.00182481751825
trying back pushing 1 0.00182481751825
trying best smaller 1 0.00182481751825
trying corner smaller 1 0.00182481751825
trying explore area 1 0.00182481751825
trying move reason 1 0.00182481751825
trying move small 1 0.00182481751825
