smaller object both fighting 1 0.0018281535649
smaller pushed smaller smaller 1 0.0018281535649
smaller rectangle smaller triangle 1 0.0018281535649
smaller rectangle triangles enclosed 1 0.0018281535649
smaller refusing finally trying 1 0.0018281535649
smaller roaming outside bigger 1 0.0018281535649
smaller roaming outside both 1 0.0018281535649
smaller smaller again inside 1 0.0018281535649
smaller smaller refusing finally 1 0.0018281535649
smaller triangle blue color 1 0.0018281535649
smaller triangle box waiting 1 0.0018281535649
smaller triangle coming smaller 1 0.0018281535649
smaller triangle inner square 1 0.0018281535649
smaller triangle inside box 1 0.0018281535649
smaller triangle moving around 1 0.0018281535649
smaller triangle outside again 1 0.0018281535649
smaller triangle outside bigger 1 0.0018281535649
smaller triangle outside smaller 1 0.0018281535649
smaller triangle outside still 1 0.0018281535649
smaller triangle roaming around 1 0.0018281535649
smaller triangle seems trying 1 0.0018281535649
smaller triangle seems very 1 0.0018281535649
smaller triangle smaller triangle 1 0.0018281535649
smaller triangle still inside 1 0.0018281535649
smaller triangle tries roam 1 0.0018281535649
smaller triangle trying push 1 0.0018281535649
sort game here bigger 1 0.0018281535649
sort opening triangles seem 1 0.0018281535649
sort ring game playing 1 0.0018281535649
sort waiting smaller triangle 1 0.0018281535649
space bigger comes trying 1 0.0018281535649
specific things outside box 1 0.0018281535649
specific ways bigger gone 1 0.0018281535649
square coming again again 1 0.0018281535649
square cut bigger triangle 1 0.0018281535649
square outer square side 1 0.0018281535649
square pushed outside smaller 1 0.0018281535649
square side inner square 1 0.0018281535649
squares here inner square 1 0.0018281535649
started playing outside enjoying 1 0.0018281535649
stay big box sort 1 0.0018281535649
stay outside triangles bigger 1 0.0018281535649
still inside bigger triangle 1 0.0018281535649
still inside box both 1 0.0018281535649
still smaller triangle inside 1 0.0018281535649
strategy does work tries 1 0.0018281535649
stretch vertex red triangle 1 0.0018281535649
structure bigger rectangle smaller 1 0.0018281535649
stuck door blue triangle 1 0.0018281535649
success pushing smaller triangle 1 0.0018281535649
surroundings over both triangles 1 0.0018281535649
taunt red object both 1 0.0018281535649
themselves vertices semi closed 1 0.0018281535649
things outside box pushing 1 0.0018281535649
tips force smaller easily 1 0.0018281535649
tips touching triangles rotating 1 0.0018281535649
touched triangles box small 1 0.0018281535649
touching rotating smaller triangle 1 0.0018281535649
touching triangles rotating respect 1 0.0018281535649
triangle also outside vertices 1 0.0018281535649
triangle blue color seems 1 0.0018281535649
triangle box waiting ahead 1 0.0018281535649
triangle came inside smaller 1 0.0018281535649
triangle coming smaller triangle 1 0.0018281535649
triangle focing triangles inside 1 0.0018281535649
triangle goes tries pull 1 0.0018281535649
triangle going outside box 1 0.0018281535649
triangle gone outside trying 1 0.0018281535649
triangle inner square coming 1 0.0018281535649
triangle inner square pushed 1 0.0018281535649
triangle inside attached vertex 1 0.0018281535649
triangle inside box tries 1 0.0018281535649
triangle interacting small triangle 1 0.0018281535649
triangle move box bigger 1 0.0018281535649
triangle moves box sort 1 0.0018281535649
triangle moving around big 1 0.0018281535649
triangle outside again gets 1 0.0018281535649
triangle outside bigger red 1 0.0018281535649
triangle outside bigger triangle 1 0.0018281535649
triangle outside box tips 1 0.0018281535649
triangle outside door both 1 0.0018281535649
triangle outside moving around 1 0.0018281535649
triangle outside red triangle 1 0.0018281535649
triangle outside small triangle 1 0.0018281535649
triangle outside smaller triangle 1 0.0018281535649
triangle outside still smaller 1 0.0018281535649
triangle pushing smaller rectangle 1 0.0018281535649
triangle pushing smaller triangle 1 0.0018281535649
triangle refusing move big 1 0.0018281535649
triangle roaming around bigger 1 0.0018281535649
triangle roaming around region 1 0.0018281535649
triangle rotating outside rectangle 1 0.0018281535649
triangle seems happy connected 1 0.0018281535649
triangle seems pushed smaller 1 0.0018281535649
triangle seems pushing smaller 1 0.0018281535649
triangle seems trying move 1 0.0018281535649
triangle seems very reluctant 1 0.0018281535649
triangle small triangle refusing 1 0.0018281535649
triangle smaller triangle roaming 1 0.0018281535649
triangle still inside bigger 1 0.0018281535649
triangle still inside box 1 0.0018281535649
triangle stuck door blue 1 0.0018281535649
triangle tries roam around 1 0.0018281535649
triangle trying pull small 1 0.0018281535649
triangle trying push outside 1 0.0018281535649
triangle trying push small 1 0.0018281535649
triangle trying stretch vertex 1 0.0018281535649
triangles bigger red smaller 1 0.0018281535649
triangles both trying align 1 0.0018281535649
triangles box open box 1 0.0018281535649
triangles box small slightly 1 0.0018281535649
triangles enclosed side rectangle 1 0.0018281535649
triangles inside box triangles 1 0.0018281535649
triangles outside box playing 1 0.0018281535649
triangles over here both 1 0.0018281535649
triangles right triangle inside 1 0.0018281535649
triangles rotating respect separated 1 0.0018281535649
triangles seem dancing chasing 1 0.0018281535649
triangles small big playing 1 0.0018281535649
triangles squares here inner 1 0.0018281535649
triangles stay outside triangles 1 0.0018281535649
triangles touching rotating smaller 1 0.0018281535649
tries move drag push 1 0.0018281535649
tries pull smaller triangle 1 0.0018281535649
tries push smaller triangle 1 0.0018281535649
tries roam around outside 1 0.0018281535649
tries turn blue object 1 0.0018281535649
trying align themselves vertices 1 0.0018281535649
trying back comes back 1 0.0018281535649
trying back pushing smaller 1 0.0018281535649
trying best smaller does 1 0.0018281535649
trying corner smaller doing 1 0.0018281535649
trying explore area outside 1 0.0018281535649
trying move reason exploring 1 0.0018281535649
trying move small object 1 0.0018281535649
trying pull small triangle 1 0.0018281535649
trying push bigger triangle 1 0.0018281535649
trying push outside arena 1 0.0018281535649
trying push outside box 1 0.0018281535649
trying push small triangle 1 0.0018281535649
trying smaller smaller refusing 1 0.0018281535649
trying stretch vertex red 1 0.0018281535649
trying taunt red object 1 0.0018281535649
turn blue object moving 1 0.0018281535649
using virtue size blue 1 0.0018281535649
vertex again gone trying 1 0.0018281535649
vertex red triangle outside 1 0.0018281535649
vertex red triangle pushing 1 0.0018281535649
vertex rotating red object 1 0.0018281535649
vertices semi closed box 1 0.0018281535649
vertices touched triangles box 1 0.0018281535649
very forcefully bigger triangle 1 0.0018281535649
very reluctant even letting 1 0.0018281535649
very reluctant moving very 1 0.0018281535649
very slowly big triangle 1 0.0018281535649
virtue size blue object 1 0.0018281535649
waiting ahead very reluctant 1 0.0018281535649
waiting smaller triangle coming 1 0.0018281535649
want remain box red 1 0.0018281535649
ways bigger gone outside 1 0.0018281535649
ways seem playing sort 1 0.0018281535649
win big object blocks 1 0.0018281535649
within space bigger comes 1 0.0018281535649
work tries move drag 1 0.0018281535649
bigger triangle trying push 2 0.0036563071298
outside box smaller triangle 2 0.0036563071298
push smaller triangle outside 2 0.0036563071298
pushing smaller triangle outside 2 0.0036563071298
triangle outside box bigger 2 0.0036563071298
triangle outside box smaller 2 0.0036563071298
triangle trying push smaller 2 0.0036563071298
trying push smaller triangle 2 0.0036563071298
outside box bigger triangle 3 0.0054844606947
smaller triangle outside box 3 0.0054844606947
